BOO iPC  8501010303 3160        3310iS                        FLD       100   1 gg
BAD eP   8501010303 3270        3530iS                        FLD       100   1 gg
BUA eP   8501010303 3280        3540eS                        FLD       100   1 gg
MPRIeP   8501010303 3320        3650eS                        FLD       110   1 gg
ZOU eP   8501010303 3490        3900eS                        FLD       120   1 gg
COLIeP   8501010303 3530        4000eS                        FLD       120   1 gg
DRE eP   8501010303 3700        4320eS                        FLD       120   1 gg
                 1                                              D
LJU iPC  8501010446 3070        3350iS                        SLD             2 gg
CEY iP   8501010446 3300        3720eS                        SLD             2 gg
TRI eP   8501010446 3630        4400iS                        SLD             2 gg
DRE eP   8501010446 3640        4440iS                        SLD       460   2 gg
COLIeP   8501010446 3970        5120eS                        SLD       460   2 gg
BAD eP   8501010446 4170        5400iS                        SLD       460   2 gg
BUA eP   8501010446 4340        5770eS                        SLD       470   2 gg
BOO eP   8501010446 4320        5770eS                        SLD       470   2 gg
MPRIeP   8501010446 4500        6030eS                        SLD       460   2 gg
ZOU eP   8501010446 4690        6360iS                        SLD       450   2 gg
RCL eP   8501010446 4940        6770eS                        SLD       420   2 gg
CAE eP   8501010446 5220        7130eS                        SLD       430   2 gg
                 1                                              D
RNI eP   8501011131 4780        5000eS                        TLD       300   3 gg
BALIeP   8501011131 4790        5050eS                        TLD       300   3 gg
DDS eP   8501011131 5080        5540eS                        TLD       300   3 gg
PAG eP   8501011131 5070        5540eS                        TLD       300   3 gg
PANIeP   8501011131 5270        5810eS                        TLD       300   3 gg
                 1                                              D
BAD iPD  8501011422 5880        6080iS                        FLD       130   4 gg
BOO iPD  8501011422 5930        6150iS                        FLD       140   4 gg
BUA eP   8501011423 0040         370iS                        FLD       140   4 gg
COLIeP   8501011423 0080         460eS                        FLD       130   4 gg
MPRIeP   8501011423 0080         470eS                        FLD       120   4 gg
DRE eP   8501011423 0210         700eS                        FLD       140   4 gg
ZOU eP   8501011423 0340         860eS                        FLD       140   4 gg
                 1                                              D
FOA eP   8501011459 4250                                      FLD             5 g
ZOU iPC  8501011459 4390        4650iS                        FLD       290   5 gg
BOO eP   8501011459 4580        5010iS                        FLD       260   5 gg
MPRIeP   8501011459 4590        5060eS                        FLD       290   5 gg
RCL eP   8501011459 4780        5330eS                        FLD       240   5 gg
BUA eP   8501011459 4770        5380eS                        FLD       240   5 gg
BAD eP   8501011459 4850        5480eS                        FLD       290   5 gg
CAE    4 8501011459 0000        5960eS                        FLD             5  g
COLIeP   8501011459 5130        5960eS                        FLD       240   5 gg
                 1                                              D
CAE eP   8501011950 2680        2950iS                        VLD       270   6 gg
RCL eP   8501011950 2740        3100iS                        VLD       260   6 gg
MPRIeP   8501011950 3170        3840eS                        VLD       250   6 gg
BUA eP   8501011950 3350        4200eS                        VLD       260   6 gg
BOO eP   8501011950 3300        4130eS                        VLD       240   6 gg
ZOU eP   8501011950 3420        4340eS                        VLD       270   6 gg
BAD eP   8501011950 3480        4400eS                        VLD             6 gg
                 1                                              D
BOO iPD  8501020543 5380        5460iS                        FL        110   7 gg
BAD eP   8501020543 5530        5810iS                        FL              7 gg
ZOU    4 8501020543 0000        5860eS                        FL              7  g
MPRIeP   8501020543 5570        5870eS                        FL         90   7 gg
                 1                                               
BAD iPC  8501020743 0630         840iS                        FLD       150   8 gg
BOO iPD  8501020743 0650         880iS                        FLD       150   8 gg
BUA eP   8501020743 0710        1030eS                        FLD       140   8 gg
COLIeP   8501020743 0810        1230eS                        FLD       160   8 gg
MPRIeP   8501020743 0810        1220eS                        FLD       170   8 gg
DRE eP   8501020743 0930        1410iS                        FLD       170   8 gg
ZOU eP   8501020743 1010        1490eS                        FLD       180   8 gg
                 1                                              D
BAD iPC  8501021245 1190        1260iS                        FLD        80   9 gg
BUA eP   8501021245 1280        1420eS                        FLD        70   9 gg
BOO eP   8501021245 1360        1590eS                        FLD        80   9 gg
MPRIeP   8501021245 1480        1790eS                        FLD        90   9 gg
ZOU    4 8501021245 0000        2430eS                        FLD             9  g
                 1                                              D
FOA eP   8501021814 5360        5540eS                        FLD            10 gg
ZOU eP   8501021814 5480        5830iS                        FLD       250  10 gg
MPRIeP   8501021814 5550        5980eS                        FLD       220  10 gg
RCL eP   8501021814 5640        6080eS                        FLD       220  10 gg
BOO eP   8501021814 5580        6030eS                        FLD       200  10 gg
BUA eP   8501021814 5760        6310eS                        FLD       180  10 gg
BAD eP   8501021814 5830        6470eS                        FLD       220  10 gg
COLIeP   8501021815 0130         940eS                        FLD       230  10 gg
DRE eP   8501021815 0370        1340eS                        FLD       240  10 gg
                 1                                              D
BOO iPC  8501030121 0220         390iS                        FLD       110  11 gg
MPRIeP   8501030121 0320         590eS                        FLD       110  11 gg
BUA eP   8501030121 0390         750eS                        FLD       100  11 gg
ZOU eP   8501030121 0400         720eS                        FLD       120  11 gg
BAD eP   8501030121 0420         770eS                        FLD       110  11 gg
                 1                                              D
BOO eP   8501030947 5580        5710iS                        FLD       100  12 gg
BAD iPD  8501030947 5660        5870iS                        FLD       100  12 gg
BUA eP   8501030947 5710        5960eS                        FLD        90  12 gg
                 1                                              D
