MODEL,WEIGHT,station,PHASE,THRESHOLD,timestamp,prob
EQTransformer,instance,LUSI,S,0.2,2023-06-09T10:13:21.800000Z,2
EQTransformer,instance,LUSI,S,0.2,2023-06-27T01:38:36.160000Z,2
EQTransformer,instance,LUSI,S,0.2,2023-06-30T06:27:23.080000Z,2
EQTransformer,instance,MAGA,S,0.2,2023-06-02T02:18:32.910000Z,2
EQTransformer,instance,MAGA,S,0.2,2023-06-27T01:38:33.750000Z,3
EQTransformer,instance,MARN,S,0.2,2023-06-13T17:17:16.830000Z,3
EQTransformer,instance,MARN,S,0.2,2023-06-27T01:38:26.040000Z,3
EQTransformer,instance,MLN,P,0.2,2023-06-01T09:28:02.560000Z,2
EQTransformer,instance,MLN,S,0.2,2023-06-01T09:29:03.500000Z,2
EQTransformer,instance,MLN,S,0.2,2023-06-05T21:00:27.800000Z,1
EQTransformer,instance,MLN,S,0.2,2023-06-11T21:30:33.870000Z,2
EQTransformer,instance,MLN,S,0.2,2023-06-22T05:17:58.930000Z,0
EQTransformer,instance,MLN,S,0.2,2023-06-23T05:21:56.500000Z,3
EQTransformer,instance,MLN,S,0.2,2023-06-24T12:58:03.220000Z,3
EQTransformer,instance,MPRI,S,0.2,2023-06-13T06:31:24.050000Z,3
EQTransformer,instance,MPRI,S,0.2,2023-06-19T22:04:34.150000Z,3
EQTransformer,instance,PANI,S,0.2,2023-06-05T21:00:29.360000Z,3
EQTransformer,instance,PANI,S,0.2,2023-06-23T05:22:12.380000Z,3
EQTransformer,instance,PANI,S,0.2,2023-06-27T01:38:37.510000Z,3
EQTransformer,instance,PANI,P,0.2,2023-06-30T06:27:19.920000Z,2
EQTransformer,instance,PANI,S,0.2,2023-06-30T06:27:31.240000Z,3
EQTransformer,instance,PLRO,S,0.2,2023-06-05T21:00:17.470000Z,2
EQTransformer,instance,PLRO,S,0.2,2023-06-06T00:55:27.410000Z,0
EQTransformer,instance,PLRO,S,0.2,2023-06-13T06:31:20.840000Z,0
EQTransformer,instance,PLRO,S,0.2,2023-06-19T12:49:54.930000Z,3
EQTransformer,instance,PLRO,S,0.2,2023-06-19T23:49:17.350000Z,2
EQTransformer,instance,PLRO,S,0.2,2023-06-28T08:34:30.300000Z,0
EQTransformer,instance,POLC,P,0.2,2023-06-01T09:53:32.040000Z,2
EQTransformer,instance,POLC,S,0.2,2023-06-01T09:53:35.700000Z,2
EQTransformer,instance,POLC,S,0.2,2023-06-05T21:00:58.300000Z,2
EQTransformer,instance,POLC,S,0.2,2023-06-23T05:27:56.530000Z,2
EQTransformer,instance,PRED,S,0.2,2023-06-03T08:29:36.470000Z,0
EQTransformer,instance,PRED,P,0.2,2023-06-09T00:43:26.520000Z,2
EQTransformer,instance,PRED,S,0.2,2023-06-09T00:43:28.800000Z,2
EQTransformer,instance,PRED,S,0.2,2023-06-26T15:55:39.280000Z,2
EQTransformer,instance,PRED,S,0.2,2023-06-28T21:00:45.400000Z,2
EQTransformer,instance,PTCC,S,0.2,2023-06-03T08:29:39.770000Z,0
EQTransformer,instance,PTCC,S,0.2,2023-06-05T21:00:18.850000Z,2
EQTransformer,instance,PTCC,S,0.2,2023-06-11T21:30:34.800000Z,2
EQTransformer,instance,PTCC,S,0.2,2023-06-14T06:29:31.830000Z,2
EQTransformer,instance,PTCC,S,0.2,2023-06-28T21:01:26.100000Z,2
EQTransformer,instance,PURA,S,0.2,2023-06-05T21:01:28.000000Z,2
EQTransformer,instance,PURA,S,0.2,2023-06-12T19:20:08.500000Z,3
EQTransformer,instance,RAVA,S,0.2,2023-06-27T01:38:55.500000Z,2
EQTransformer,instance,ROBS,S,0.2,2023-06-03T08:29:34.630000Z,2
EQTransformer,instance,ROBS,S,0.2,2023-06-04T00:04:08.400000Z,2
EQTransformer,instance,ROBS,P,0.2,2023-06-09T11:33:46.050000Z,0
EQTransformer,instance,ROBS,P,0.2,2023-06-16T10:03:22.060000Z,0
EQTransformer,instance,ROBS,S,0.2,2023-06-28T21:01:09.300000Z,0
EQTransformer,instance,RONC,P,0.2,2023-06-02T02:18:29.060000Z,2
EQTransformer,instance,RONC,S,0.2,2023-06-13T17:17:25.900000Z,3
EQTransformer,instance,SABO,S,0.2,2023-06-11T21:30:43.960000Z,3
EQTransformer,instance,SABO,S,0.2,2023-06-12T08:28:27.370000Z,1
EQTransformer,instance,SABO,S,0.2,2023-06-13T06:31:20.640000Z,2
EQTransformer,instance,SABO,S,0.2,2023-06-14T08:42:58.800000Z,3
EQTransformer,instance,SABO,S,0.2,2023-06-14T09:18:29.020000Z,3
EQTransformer,instance,SABO,S,0.2,2023-06-18T06:16:54.370000Z,3
EQTransformer,instance,SABO,S,0.2,2023-06-19T22:04:30.940000Z,3
EQTransformer,instance,SABO,S,0.2,2023-06-19T23:49:18.410000Z,3
EQTransformer,instance,SABO,S,0.2,2023-06-22T07:15:28.360000Z,0
EQTransformer,instance,SABO,P,0.2,2023-06-23T05:22:05.080000Z,3
EQTransformer,instance,SABO,S,0.2,2023-06-29T10:59:11.380000Z,2
EQTransformer,instance,STAL,S,0.2,2023-06-05T21:00:43.500000Z,2
EQTransformer,instance,STAL,S,0.2,2023-06-23T05:22:00.090000Z,2
EQTransformer,instance,STAL,S,0.2,2023-06-23T05:28:04.120000Z,2
EQTransformer,instance,STAL,S,0.2,2023-06-24T12:59:08.300000Z,3
EQTransformer,instance,TRI,P,0.2,2023-06-08T09:25:50.890000Z,0
EQTransformer,instance,TRI,S,0.2,2023-06-08T09:25:53.560000Z,2
EQTransformer,instance,TRI,P,0.2,2023-06-22T09:03:56.700000Z,0
EQTransformer,instance,VARA,S,0.2,2023-06-27T01:38:33.220000Z,3
EQTransformer,instance,VARN,S,0.2,2023-06-04T17:58:36.900000Z,2
EQTransformer,instance,VARN,P,0.2,2023-06-13T17:17:19.510000Z,2
EQTransformer,instance,VARN,S,0.2,2023-06-23T05:27:58.490000Z,2
EQTransformer,instance,VARN,P,0.2,2023-06-27T01:38:20.970000Z,3
EQTransformer,instance,VINO,S,0.2,2023-06-04T00:04:19.700000Z,1
EQTransformer,instance,VINO,S,0.2,2023-06-05T08:29:17.600000Z,2
EQTransformer,instance,VINO,S,0.2,2023-06-06T00:55:28.010000Z,2
EQTransformer,instance,VINO,S,0.2,2023-06-06T07:43:30.700000Z,0
EQTransformer,instance,VINO,P,0.2,2023-06-09T00:43:31.510000Z,0
EQTransformer,instance,VINO,S,0.2,2023-06-09T00:43:36.260000Z,1
EQTransformer,instance,VINO,S,0.2,2023-06-19T23:50:27.300000Z,1
EQTransformer,instance,VINO,S,0.2,2023-06-23T05:22:10.330000Z,2
EQTransformer,instance,VINO,S,0.2,2023-06-24T12:58:17.830000Z,3
EQTransformer,instance,VOJS,S,0.2,2023-06-07T12:45:04.330000Z,3
EQTransformer,instance,VOJS,S,0.2,2023-06-14T08:43:28.700000Z,3
EQTransformer,instance,VOJS,P,0.2,2023-06-14T08:57:52.470000Z,1
EQTransformer,instance,VOJS,S,0.2,2023-06-19T11:59:19.240000Z,1
EQTransformer,instance,VOJS,S,0.2,2023-06-23T10:33:30.750000Z,2
EQTransformer,instance,VOJS,P,0.2,2023-06-26T15:55:34.780000Z,0
EQTransformer,instance,VOJS,S,0.2,2023-06-26T15:55:38.110000Z,0
EQTransformer,instance,VOJS,S,0.2,2023-06-29T11:00:00.600000Z,0
EQTransformer,instance,VOJS,P,0.2,2023-06-29T19:53:02.600000Z,1
EQTransformer,instance,VOJS,S,0.2,2023-06-29T19:54:11.700000Z,3
EQTransformer,original,ABSI,P,0.2,2023-06-08T15:19:25.480000Z,1
EQTransformer,original,ABSI,P,0.2,2023-06-14T10:05:04.250000Z,2
EQTransformer,original,ABSI,P,0.2,2023-06-29T15:06:42.230000Z,0
EQTransformer,original,ABSI,P,0.2,2023-06-29T15:09:00.640000Z,0
EQTransformer,original,ABSI,P,0.2,2023-06-29T15:17:51.880000Z,0
EQTransformer,original,ABSI,P,0.2,2023-06-29T15:32:58.890000Z,0
EQTransformer,original,ABTA,P,0.2,2023-06-05T21:00:09.810000Z,4
EQTransformer,original,ABTA,S,0.2,2023-06-05T21:00:18.740000Z,3
EQTransformer,original,ACOM,P,0.2,2023-06-04T00:03:09.150000Z,2
EQTransformer,original,ACOM,S,0.2,2023-06-04T00:03:14.520000Z,2
EQTransformer,original,ACOM,P,0.2,2023-06-05T21:00:13.770000Z,3
EQTransformer,original,ACOM,S,0.2,2023-06-05T21:00:24.080000Z,3
EQTransformer,original,ACOM,S,0.2,2023-06-11T21:30:40.670000Z,2
EQTransformer,original,ACOM,P,0.2,2023-06-18T03:46:54.620000Z,2
EQTransformer,original,ACOM,S,0.2,2023-06-18T03:46:57.060000Z,2
EQTransformer,original,ACOM,P,0.2,2023-06-19T12:49:45.250000Z,2
EQTransformer,original,ACOM,S,0.2,2023-06-19T12:49:47.810000Z,2
EQTransformer,original,ACOM,P,0.2,2023-06-21T14:18:26.770000Z,0
EQTransformer,original,ACOM,S,0.2,2023-06-21T14:18:30.580000Z,2
EQTransformer,original,ACOM,P,0.2,2023-06-28T08:32:57.970000Z,0
EQTransformer,original,ACOM,S,0.2,2023-06-28T08:33:01.470000Z,2
EQTransformer,original,BAD,S,0.2,2023-06-04T00:04:23.400000Z,2
EQTransformer,original,BAD,S,0.2,2023-06-05T08:29:10.700000Z,0
EQTransformer,original,BAD,S,0.2,2023-06-06T07:43:39.000000Z,0
EQTransformer,original,BAD,S,0.2,2023-06-13T06:31:19.080000Z,2
EQTransformer,original,BAD,S,0.2,2023-06-19T22:04:29.120000Z,2
EQTransformer,original,BAD,S,0.2,2023-06-19T23:50:36.600000Z,2
EQTransformer,original,BAD,S,0.2,2023-06-23T05:22:10.500000Z,3
EQTransformer,original,BAD,P,0.2,2023-06-26T03:04:17.530000Z,1
EQTransformer,original,BAD,S,0.2,2023-06-26T03:04:20.310000Z,3
EQTransformer,original,BAD,P,0.2,2023-06-28T01:24:26.430000Z,3
EQTransformer,original,BAD,S,0.2,2023-06-28T01:24:29.830000Z,0
EQTransformer,original,BALD,P,0.2,2023-06-02T02:18:29.010000Z,2
EQTransformer,original,BALD,P,0.2,2023-06-13T17:17:08.250000Z,2
EQTransformer,original,BOO,P,0.2,2023-06-04T03:09:46.300000Z,2
EQTransformer,original,BOO,S,0.2,2023-06-04T03:09:49.960000Z,2
EQTransformer,original,BOO,P,0.2,2023-06-05T08:28:03.340000Z,0
EQTransformer,original,BOO,S,0.2,2023-06-05T08:28:40.500000Z,0
EQTransformer,original,BOO,S,0.2,2023-06-05T21:00:12.270000Z,3
EQTransformer,original,BOO,P,0.2,2023-06-18T06:16:50.460000Z,2
EQTransformer,original,BOO,S,0.2,2023-06-18T06:16:54.470000Z,1
EQTransformer,original,BOO,P,0.2,2023-06-22T18:52:25.410000Z,3
EQTransformer,original,BOO,S,0.2,2023-06-23T05:22:08.840000Z,2
EQTransformer,original,BOO,S,0.2,2023-06-24T12:58:14.880000Z,2
EQTransformer,original,BOO,P,0.2,2023-06-26T03:04:17.660000Z,2
EQTransformer,original,BOO,S,0.2,2023-06-26T03:04:20.260000Z,3
EQTransformer,original,BOO,P,0.2,2023-06-28T01:24:24.200000Z,2
EQTransformer,original,BOO,S,0.2,2023-06-28T01:24:26.110000Z,1
EQTransformer,original,CADS,P,0.2,2023-06-09T00:43:29.160000Z,1
EQTransformer,original,CADS,S,0.2,2023-06-09T00:43:32.360000Z,2
EQTransformer,original,CADS,P,0.2,2023-06-09T10:10:14.020000Z,0
EQTransformer,original,CADS,P,0.2,2023-06-09T11:29:01.950000Z,2
EQTransformer,original,CADS,S,0.2,2023-06-09T11:30:25.000000Z,2
EQTransformer,original,CADS,S,0.2,2023-06-11T21:30:43.390000Z,2
EQTransformer,original,CADS,P,0.2,2023-06-20T03:40:33.990000Z,2
EQTransformer,original,CADS,S,0.2,2023-06-20T03:40:36.760000Z,2
EQTransformer,original,CADS,S,0.2,2023-06-28T21:01:04.500000Z,0
