code,name,latitude,longitude,elevation,site name,country,institution,online,EIDA 1/0,EIDA node
ST,DOSS,45.8808,11.1884,,,Italy,,,1,
OX,FUSE,46.4142,13.0011,,,Italy,,,1,
IV,FVI,46.59658,12.7804,1024,,Italy,,,1,
ST,GAGG,46.0835,10.9587,,,Italy,,,1,
IV,BRMO,46.47616,10.37218,1380,,Italy,,,1,
IV,ZOVE,45.4536,11.4876,376,Zovencedo,Italy,,,1,
ST,VARA,45.83,10.9,,,Italy,,,1,
IV,RAVA,44.75587,11.1188,15,,Italy,,,1,
IV,SGAL,45.563555,10.31064,460,Botticino San Gallo,Italy,,,1,
RF,GEPF,46.275,13.1386,,Gemona Piazza del Ferro,Italy,,,1,
OX,BALD,45.683,10.8187,,,Italy,,,1,
NI,POLC,46.0266,12.5005,,,Italy,,,1,
OX,ACOM,46.548,13.5137,,,Italy,,,1,
