MODEL,WEIGHT,STATION,THRESHOLD,timestamp,PHASE,prob
EQTransformer,instance,LUSI,0.2,2023-06-09T10:13:21.800000Z,S,2
EQTransformer,instance,LUSI,0.2,2023-06-27T01:38:36.160000Z,S,2
EQTransformer,instance,LUSI,0.2,2023-06-30T06:27:23.080000Z,S,2
EQTransformer,instance,MAGA,0.2,2023-06-02T02:18:32.910000Z,S,2
EQTransformer,instance,MAGA,0.2,2023-06-27T01:38:33.750000Z,S,3
EQTransformer,instance,MARN,0.2,2023-06-13T17:17:16.830000Z,S,3
EQTransformer,instance,MARN,0.2,2023-06-27T01:38:26.040000Z,S,3
EQTransformer,instance,MLN,0.2,2023-06-01T09:28:02.560000Z,P,2
EQTransformer,instance,MLN,0.2,2023-06-01T09:29:03.500000Z,S,2
EQTransformer,instance,MLN,0.2,2023-06-05T21:00:27.800000Z,S,1
EQTransformer,instance,MLN,0.2,2023-06-11T21:30:33.870000Z,S,2
EQTransformer,instance,MLN,0.2,2023-06-22T05:17:58.930000Z,S,0
EQTransformer,instance,MLN,0.2,2023-06-23T05:21:56.500000Z,S,3
EQTransformer,instance,MLN,0.2,2023-06-24T12:58:03.220000Z,S,3
EQTransformer,instance,MPRI,0.2,2023-06-13T06:31:24.050000Z,S,3
EQTransformer,instance,MPRI,0.2,2023-06-19T22:04:34.150000Z,S,3
EQTransformer,instance,PANI,0.2,2023-06-05T21:00:29.360000Z,S,3
EQTransformer,instance,PANI,0.2,2023-06-23T05:22:12.380000Z,S,3
EQTransformer,instance,PANI,0.2,2023-06-27T01:38:37.510000Z,S,3
EQTransformer,instance,PANI,0.2,2023-06-30T06:27:19.920000Z,P,2
EQTransformer,instance,PANI,0.2,2023-06-30T06:27:31.240000Z,S,3
EQTransformer,instance,PLRO,0.2,2023-06-05T21:00:17.470000Z,S,2
EQTransformer,instance,PLRO,0.2,2023-06-06T00:55:27.410000Z,S,0
EQTransformer,instance,PLRO,0.2,2023-06-13T06:31:20.840000Z,S,0
EQTransformer,instance,PLRO,0.2,2023-06-19T12:49:54.930000Z,S,3
EQTransformer,instance,PLRO,0.2,2023-06-19T23:49:17.350000Z,S,2
EQTransformer,instance,PLRO,0.2,2023-06-28T08:34:30.300000Z,S,0
EQTransformer,instance,POLC,0.2,2023-06-01T09:53:32.040000Z,P,2
EQTransformer,instance,POLC,0.2,2023-06-01T09:53:35.700000Z,S,2
EQTransformer,instance,POLC,0.2,2023-06-05T21:00:58.300000Z,S,2
EQTransformer,instance,POLC,0.2,2023-06-23T05:27:56.530000Z,S,2
EQTransformer,instance,PRED,0.2,2023-06-03T08:29:36.470000Z,S,0
EQTransformer,instance,PRED,0.2,2023-06-09T00:43:26.520000Z,P,2
EQTransformer,instance,PRED,0.2,2023-06-09T00:43:28.800000Z,S,2
EQTransformer,instance,PRED,0.2,2023-06-26T15:55:39.280000Z,S,2
EQTransformer,instance,PRED,0.2,2023-06-28T21:00:45.400000Z,S,2
EQTransformer,instance,PTCC,0.2,2023-06-03T08:29:39.770000Z,S,0
EQTransformer,instance,PTCC,0.2,2023-06-05T21:00:18.850000Z,S,2
EQTransformer,instance,PTCC,0.2,2023-06-11T21:30:34.800000Z,S,2
EQTransformer,instance,PTCC,0.2,2023-06-14T06:29:31.830000Z,S,2
EQTransformer,instance,PTCC,0.2,2023-06-28T21:01:26.100000Z,S,2
EQTransformer,instance,PURA,0.2,2023-06-05T21:01:28.000000Z,S,2
EQTransformer,instance,PURA,0.2,2023-06-12T19:20:08.500000Z,S,3
EQTransformer,instance,RAVA,0.2,2023-06-27T01:38:55.500000Z,S,2
EQTransformer,instance,ROBS,0.2,2023-06-03T08:29:34.630000Z,S,2
EQTransformer,instance,ROBS,0.2,2023-06-04T00:04:08.400000Z,S,2
EQTransformer,instance,ROBS,0.2,2023-06-09T11:33:46.050000Z,P,0
EQTransformer,instance,ROBS,0.2,2023-06-16T10:03:22.060000Z,P,0
EQTransformer,instance,ROBS,0.2,2023-06-28T21:01:09.300000Z,S,0
EQTransformer,instance,RONC,0.2,2023-06-02T02:18:29.060000Z,P,2
EQTransformer,instance,RONC,0.2,2023-06-13T17:17:25.900000Z,S,3
