index;event-id;origin_time(UTC);t_err;lat;lon;h_err;depth;v_err;gap;ml;md;place;event_type
00036;2024_00036;2024-01-09T05:45:40.130; 0.31;46.4290;14.3233;  1.0;  8.4;  1.0;141; 1.5; 1.3;LOIBL PASS (AUSTRIA);[earthquake]
00037;2024_00037;2024-01-09T06:34:03.310; 0.12;46.4502;13.0857;  0.6; 12.6;  0.6;122; 0.5; 1.4;M.SERNIO (FRIULI);[earthquake]
00038;2024_00038;2024-01-09T10:46:08.070; 0.38;45.9708;13.7083;  4.8; 19.2;  4.8;206; 1.2; 1.1;TRNOVO (SLOVENIA);[earthquake]
00039;2024_00039;2024-01-09T23:52:42.680; 0.17;45.9173;12.1800;  0.8; 10.1;  0.8;146; 0.7;----;CISON DI VALMARINO (VENETO);[earthquake]
00040;2024_00040;2024-01-10T00:05:18.030; 0.24;45.9208;12.1530;  1.7; 14.9;  1.7;135; 1.0;----;CISON DI VALMARINO (VENETO);[earthquake]
00041;2024_00041;2024-01-10T01:15:58.360; 0.07;46.1082;13.6968;  0.3; 13.9;  0.3;116; 0.8;----;STREGNA (FRIULI);[earthquake]
00042;2024_00042;2024-01-10T03:22:24.930; 0.35;46.2700;12.9302;  1.2;  2.1;  1.2;114; 0.5;----;PIELUNGO (FRIULI);[earthquake]
00043;2024_00043;2024-01-10T05:02:37.130; 0.26;46.3925;13.2978;  0.6;  0.8;  0.6; 84; 0.4;----;CHIUSAFORTE (FRIULI);[earthquake]
00044;2024_00044;2024-01-10T06:58:51.070; 0.31;46.2735;12.6940;  1.5;  9.3;  1.5;104; 0.5; 1.2;CLAUTANA (FRIULI);[earthquake]
00045;2024_00045;2024-01-10T18:45:53.250; 0.21;46.4105;12.5347;  1.5; 12.2;  1.5;172; 0.9;----;M.PRAMAGGIORE (FRIULI);[earthquake]
00046;2024_00046;2024-01-10T22:57:51.640; 0.05;45.9228;12.1868;  1.1;  8.6;  1.1;146; 0.9;----;CISON DI VALMARINO (VENETO);[earthquake]
00047;2024_00047;2024-01-11T03:46:44.290; 0.19;46.5057;13.0667;  1.4;  8.3;  1.4;154; 0.5; 0.7;PALUZZA (FRIULI);[earthquake]
00048;2024_00048;2024-01-11T10:36:20.090; 0.08;46.4992;12.9467;  0.5;  1.0;  0.5;157; 0.2; 0.4;OVARO (FRIULI);[earthquake]
00049;2024_00049;2024-01-11T12:18:19.120; 0.80;46.5505;13.1103;  7.2; 14.7;  7.2;156; 0.3; 1.3;PAULARO (FRIULI);[earthquake]
00050;2024_00050;2024-01-11T14:39:08.570; 0.32;46.4158;12.9992;  0.6; 12.3;  0.6; 56; 1.1; 0.1;TOLMEZZO (FRIULI);[earthquake]
00051;2024_00051;2024-01-11T18:10:28.860; 0.13;46.4085;12.9935;  0.4; 12.7;  0.4; 93; 0.5;----;TOLMEZZO (FRIULI);[earthquake]
00052;2024_00052;2024-01-11T23:35:37.220; 0.05;45.2842;14.3317;-----;  7.0;-----;282; 1.8;----;RIJEKA (CRAOZIA);[earthquake]
00053;2024_00053;2024-01-11T23:50:47.170; 0.22;46.5013;13.0373;  0.9;  5.3;  0.9; 96; 0.9;----;PALUZZA (FRIULI);[earthquake]
00054;2024_00054;2024-01-12T02:13:34.020; 0.23;46.3928;12.8878;  0.5;  8.3;  0.5; 62; 0.8;----;VILLA SANTINA (FRIULI);[earthquake]
00055;2024_00055;2024-01-12T03:27:26.610; 0.10;45.7790;10.9615;  2.0;  6.3;  2.0;247; 0.7;----;ALA (TRENTINO);[earthquake]
00056;2024_00056;2024-01-12T06:03:54.060; 0.34;46.2695;12.9272;  0.5;  4.6;  0.5;107; 1.4; 2.0;PIELUNGO (FRIULI);[earthquake]
00057;2024_00057;2024-01-12T11:56:38.120; 0.27;45.7970;14.2085;  2.7;  5.8;  2.7;264; 1.5;----;POSTOJNA (SLOVENIA);[earthquake]
00058;2024_00058;2024-01-13T05:31:46.400; 0.24;45.0560;11.3190;  2.0; 16.5;  2.0;290; 1.5;----;SERMIDE (LOMBARDIA);[earthquake]
00059;2024_00059;2024-01-13T06:13:23.910; 0.11;46.4300;12.9990;  0.4;  9.6;  0.4; 98; 0.1;----;ARTA (FRIULI);[earthquake]
00060;2024_00060;2024-01-13T14:04:41.380; 0.12;46.3353;13.4505;  0.4;  2.6;  0.4; 75; 0.4;----;M.CANIN (FRIULI);[earthquake]
00061;2024_00061;2024-01-14T15:53:07.770; 0.36;46.4113;12.8473;  0.5;  3.2;  0.5; 61; 1.6; 2.2;VILLA SANTINA (FRIULI);[earthquake]
00062;2024_00062;2024-01-15T01:17:35.740; 0.33;46.2622;13.5880;  1.0;  6.9;  1.0;113; 0.5; 1.1;KOBARID (SLOVENIA);[earthquake]
00063;2024_00063;2024-01-15T03:56:05.850; 0.21;45.7288;11.0287;  0.6;  4.8;  0.6;154; 1.2;----;M.LESSINI (TRENTINO);[earthquake]
00064;2024_00064;2024-01-15T08:44:04.260; 0.86;45.0307;11.3582;  1.6; 11.9;  1.6;105; 2.2;----;CENESELLI (VENETO);[earthquake]
00065;2024_00065;2024-01-15T13:50:02.610; 0.20;45.9223;14.1905;  0.9;  8.3;  0.9;148; 1.6;----;HOTEDRSICA (SLOVENIA);[earthquake]
00066;2024_00066;2024-01-15T17:53:34.010; 0.61;45.9073;10.9163;  1.1; 14.8;  1.1; 77; 1.2;----;RIVA (TRENTINO);[earthquake]
00067;2024_00067;2024-01-16T02:16:40.170; 0.01;45.6272;13.9183;  0.1;  8.2;  0.1;119; 0.8; 1.2;S.DORLIGO D.VALLE;[earthquake]
00068;2024_00068;2024-01-16T08:48:58.290; 0.15;45.9607;14.3280;  0.6;  8.6;  0.6; 94; 1.6; 1.4;PRESERJE (SLOVENIA);[earthquake]
00069;2024_00069;2024-01-16T09:37:07.060; 0.06;45.7433;14.0580;  0.6; 15.3;  0.6;173; 0.9; 1.2;SENOZECE (SLOVENIA);[earthquake]
00070;2024_00070;2024-01-16T12:30:42.940; 0.12;45.4213;14.3173;  0.7;  9.9;  0.7;152; 1.7; 1.9;RUPA (CROAZIA);[earthquake]
00071;2024_00071;2024-01-16T23:27:30.300; 0.13;46.3163;12.6792;  0.7; 11.2;  0.7; 94; 1.0; 1.9;CLAUTANA (FRIULI);[earthquake]
00072;2024_00072;2024-01-17T00:24:45.060; 0.10;45.6393;13.9323;  1.3;  0.4;  1.3;152; 0.9; 0.8;S.DORLIGO D.VALLE;[earthquake]
00073;2024_00073;2024-01-17T06:36:29.000; 0.45;45.8597;11.0125;  1.5; 12.6;  1.5;167; 0.9; 1.6;ROVERETO (TRENTINO);[earthquake]
00074;2024_00074;2024-01-17T07:24:10.280; 0.27;46.0983;14.2777;  0.8;  4.9;  0.8;114; 0.9; 1.2;SKOFIA-LOKA (SLOVENIA);[earthquake]
00075;2024_00075;2024-01-17T22:08:17.160; 0.07;46.2223;12.5238;  0.3;  6.4;  0.3;105; 0.5; 0.8;BARCIS (FRIULI);[earthquake]
00076;2024_00076;2024-01-18T14:31:46.730; 0.06;45.9063;14.1967;  0.3;  7.2;  0.3;140; 1.3; 1.1;HRUSICA (SLOVENIA);[earthquake]
00077;2024_00077;2024-01-18T20:35:10.380; 0.15;46.3282;13.1387;  0.5;  9.7;  0.5; 63; 0.4; 1.1;GEMONA (FRIULI);[earthquake]
00078;2024_00078;2024-01-19T08:51:47.860; 0.17;46.5432;12.7258;  0.5;  6.7;  0.5;121; 1.4; 1.4;PRATO CARNICO (FRIULI);[earthquake]
00079;2024_00079;2024-01-19T15:17:04.720; 0.51;45.8990;10.1173;  2.7;  1.4;  2.7;198; 1.6; 2.1;DARFO-BOARIO TERME (LOMBARDIA);[earthquake]
00080;2024_00080;2024-01-19T23:00:53.210; 0.09;46.3118;12.7210;  0.5; 12.1;  0.5;106; 0.7; 1.6;TRAMONTI DI SOTTO (FRIULI);[earthquake]
00081;2024_00081;2024-01-20T04:14:17.380; 0.38;46.3150;12.7370;  0.6; 12.3;  0.6; 85; 2.5; 2.6;TRAMONTI DI SOTTO (FRIULI);[earthquake]
00082;2024_00082;2024-01-20T04:31:52.290; 0.17;46.3172;12.7305;  0.4; 10.9;  0.4; 95; 0.9; 1.3;TRAMONTI DI SOTTO (FRIULI);[earthquake]
00083;2024_00083;2024-01-20T23:20:14.330; 0.14;46.2152;12.5218;  0.6;  8.0;  0.6;105; 0.5; 0.9;BARCIS (FRIULI);[earthquake]
00084;2024_00084;2024-01-21T04:32:34.390; 0.49;46.4598;14.3578;  0.9;  8.8;  0.9;136; 2.2; 2.6;KOSCHUTNIK (AUSTRIA);[earthquake]
00085;2024_00085;2024-01-21T05:31:11.080; 0.48;46.4507;14.3510;  1.0;  9.3;  1.0;134; 1.9; 2.6;KOSCHUTNIK (AUSTRIA);[earthquake]
