index;event-id;origin_time(UTC);t_err;lat;lon;h_err;depth;v_err;gap;ml;md;place;event_type
00368;2024_00368;2024-03-25T21:51:37.300; 0.07;46.2482;13.5517;  0.4; 10.9;  0.4;100; 0.3; 0.8;PULFERO (FRIULI);[earthquake]
00369;2024_00369;2024-03-27T10:35:37.650; 0.28;46.3070;13.4785;  0.5; 14.5;  0.5; 65; 1.9; 1.9;ZAGA (SLOVENIA);[earthquake]
00370;2024_00370;2024-03-27T12:10:14.870; 0.21;46.2780;14.4447;  1.0; 11.7;  1.0;139; 1.2; 0.8;PREDDVOR (SLOVENIA);[earthquake]
00371;2024_00371;2024-03-27T16:36:07.260; 0.22;46.2715;13.4868;  0.6;  5.9;  0.6;108; 1.0; 0.7;ZAGA (SLOVENIA);[earthquake]
00372;2024_00372;2024-03-27T17:43:25.560; 0.23;46.2770;12.7363;  0.7;  1.1;  0.7;133; 0.8; 1.1;TRAMONTI DI SOTTO (FRIULI);[earthquake]
00373;2024_00373;2024-03-27T21:19:37.280; 0.28;46.3583;12.8080;  0.4; 10.2;  0.4; 58; 4.6;----;AMPEZZO (FRIULI);[earthquake]
00374;2024_00374;2024-03-27T21:24:34.340; 0.14;46.3592;12.8322;  0.5;  6.8;  0.5;108; 1.0; 0.1;VILLA SANTINA (FRIULI);[earthquake]
00375;2024_00375;2024-03-27T21:34:03.350; 0.22;46.3582;12.8140;  0.5;  7.6;  0.5;105; 0.9; 0.7;AMPEZZO (FRIULI);[earthquake]
00376;2024_00376;2024-03-27T21:45:45.470; 0.08;46.3528;12.8158;  0.2;  8.7;  0.2;104; 2.3; 1.6;AMPEZZO (FRIULI);[earthquake]
00377;2024_00377;2024-03-27T21:56:38.460; 0.19;46.3572;12.8235;  0.5;  6.0;  0.5;114; 0.7; 1.0;AMPEZZO (FRIULI);[earthquake]
00378;2024_00378;2024-03-27T21:57:57.580; 0.07;46.3532;12.8247;  0.3;  8.2;  0.3;121; 0.3; 0.7;AMPEZZO (FRIULI);[earthquake]
00379;2024_00379;2024-03-27T22:14:45.520; 0.08;46.3568;12.8107;  1.0;  8.6;  1.0;190; 0.3; 0.2;AMPEZZO (FRIULI);[earthquake]
00380;2024_00380;2024-03-27T22:33:06.640; 0.21;46.3632;12.8103;  0.5;  6.5;  0.5; 99; 0.8; 0.8;AMPEZZO (FRIULI);[earthquake]
00381;2024_00381;2024-03-27T22:45:02.110; 0.22;46.3698;12.8290;  0.7;  8.1;  0.7;109; 0.5; 0.4;VILLA SANTINA (FRIULI);[earthquake]
00382;2024_00382;2024-03-27T23:21:35.990; 0.26;46.3592;12.8185;  0.8;  7.6;  0.8;102; 0.6; 0.8;AMPEZZO (FRIULI);[earthquake]
00383;2024_00383;2024-03-27T23:31:28.380; 0.18;46.3602;12.8208;  0.5;  6.6;  0.5;100; 0.5; 0.6;AMPEZZO (FRIULI);[earthquake]
00384;2024_00384;2024-03-27T23:38:46.000; 0.24;46.3667;12.8222;  0.6;  6.2;  0.6; 99; 0.7; 1.2;AMPEZZO (FRIULI);[earthquake]
00385;2024_00385;2024-03-27T23:42:11.030; 0.18;46.3535;12.8180;  0.5;  5.3;  0.5;103; 0.6; 0.8;AMPEZZO (FRIULI);[earthquake]
00386;2024_00386;2024-03-27T23:46:04.300; 0.24;46.3550;12.8150;  0.5;  4.8;  0.5;105; 0.8; 0.7;AMPEZZO (FRIULI);[earthquake]
00387;2024_00387;2024-03-27T23:52:00.870; 0.25;46.3643;12.8148;  0.5;  6.0;  0.5;103; 0.8; 0.4;AMPEZZO (FRIULI);[earthquake]
00388;2024_00388;2024-03-28T00:13:54.930; 0.20;46.3502;12.8062;  0.4;  9.7;  0.4; 65; 1.5; 1.0;AMPEZZO (FRIULI);[earthquake]
00389;2024_00389;2024-03-28T00:28:51.250; 0.15;46.3535;12.8107;  0.3;  9.0;  0.3; 87; 1.2; 0.7;AMPEZZO (FRIULI);[earthquake]
00390;2024_00390;2024-03-28T00:53:16.690; 0.16;46.3520;12.8135;  0.5;  9.5;  0.5;106; 0.7; 0.9;AMPEZZO (FRIULI);[earthquake]
00391;2024_00391;2024-03-28T01:01:51.420; 0.25;46.3617;12.8157;  0.4;  8.9;  0.4; 83; 1.5; 1.4;AMPEZZO (FRIULI);[earthquake]
00392;2024_00392;2024-03-28T01:18:11.880; 0.16;46.3515;12.8108;  0.3;  8.6;  0.3; 88; 1.1; 0.9;AMPEZZO (FRIULI);[earthquake]
00393;2024_00393;2024-03-28T01:19:09.030; 0.27;46.3488;12.8097;  0.7;  7.9;  0.7;108; 0.9; 0.9;AMPEZZO (FRIULI);[earthquake]
00394;2024_00394;2024-03-28T02:33:58.010; 0.20;46.3133;13.2548;  0.4; 12.4;  0.4; 58; 1.5; 0.5;LUSEVERA (FRIULI);[earthquake]
00395;2024_00395;2024-03-28T02:36:15.390; 0.29;46.3562;12.8105;  0.4;  9.8;  0.4; 80; 2.6; 2.9;AMPEZZO (FRIULI);[earthquake]
00396;2024_00396;2024-03-28T02:51:25.340; 0.22;46.3548;12.8017;  0.4;  9.5;  0.4; 67; 1.5; 1.1;AMPEZZO (FRIULI);[earthquake]
00397;2024_00397;2024-03-28T03:08:04.390; 0.10;46.3553;12.8223;  0.3;  6.5;  0.3;104; 0.6; 0.9;AMPEZZO (FRIULI);[earthquake]
00398;2024_00398;2024-03-28T03:25:20.280; 0.24;46.3588;12.8083;  0.4;  8.9;  0.4; 79; 1.4; 1.1;AMPEZZO (FRIULI);[earthquake]
00399;2024_00399;2024-03-28T03:29:19.120; 0.11;46.3580;12.8170;  0.4;  8.2;  0.4;103; 0.6; 1.0;AMPEZZO (FRIULI);[earthquake]
00400;2024_00400;2024-03-28T03:33:40.810; 0.08;46.3515;12.8138;  0.2;  8.5;  0.2; 86; 1.0; 1.5;AMPEZZO (FRIULI);[earthquake]
00401;2024_00401;2024-03-28T03:54:15.910; 0.27;46.3587;12.8127;  0.8;  7.6;  0.8;106; 0.6; 0.6;AMPEZZO (FRIULI);[earthquake]
00402;2024_00402;2024-03-28T04:13:00.390; 0.22;46.3553;12.8115;  0.4;  8.4;  0.4; 80; 1.3; 0.7;AMPEZZO (FRIULI);[earthquake]
00403;2024_00403;2024-03-28T04:44:58.140; 0.11;46.3538;12.8195;  0.4;  7.3;  0.4;102; 0.4; 0.8;AMPEZZO (FRIULI);[earthquake]
00404;2024_00404;2024-03-28T05:15:54.180; 0.14;46.3592;12.8228;  0.4;  7.3;  0.4; 99; 0.8; 0.9;AMPEZZO (FRIULI);[earthquake]
00405;2024_00405;2024-03-28T05:19:56.870; 0.19;46.3537;12.8127;  0.4;  5.8;  0.4;106; 0.6; 0.7;AMPEZZO (FRIULI);[earthquake]
00406;2024_00406;2024-03-28T05:34:52.800; 0.17;46.3560;12.8155;  0.5;  8.7;  0.5;107; 0.6; 0.8;AMPEZZO (FRIULI);[earthquake]
00407;2024_00407;2024-03-28T06:25:06.850; 0.08;46.3532;12.8155;  1.0;  7.5;  1.0;223; 0.4; 0.3;AMPEZZO (FRIULI);[earthquake]
00408;2024_00408;2024-03-28T09:31:34.610; 0.13;46.3565;12.8162;  0.4;  7.6;  0.4;104; 1.0; 1.2;AMPEZZO (FRIULI);[earthquake]
00409;2024_00409;2024-03-28T10:02:15.700; 0.17;46.3587;12.8270;  0.5;  5.6;  0.5; 97; 0.6; 0.7;AMPEZZO (FRIULI);[earthquake]
00410;2024_00410;2024-03-28T10:47:00.460; 0.13;46.3560;12.8087;  0.2;  7.7;  0.2; 80; 1.3; 1.6;AMPEZZO (FRIULI);[earthquake]
00411;2024_00411;2024-03-28T15:27:23.110; 0.09;46.3480;12.8147;  0.4;  9.0;  0.4;105; 0.8; 1.1;AMPEZZO (FRIULI);[earthquake]
00412;2024_00412;2024-03-28T17:09:46.290; 0.09;46.3630;12.8297;  0.8;  6.1;  0.8;148; 0.5; 0.8;VILLA SANTINA (FRIULI);[earthquake]
00413;2024_00413;2024-03-28T17:31:30.430; 0.06;46.3570;12.8170;  0.2;  8.2;  0.2;103; 0.7; 0.8;AMPEZZO (FRIULI);[earthquake]
00414;2024_00414;2024-03-28T18:37:58.200; 0.08;46.3622;12.7970;  0.4;  5.6;  0.4;141; 0.6; 1.0;AMPEZZO (FRIULI);[earthquake]
00415;2024_00415;2024-03-28T19:20:54.880; 0.13;46.3490;12.8187;  0.3;  7.5;  0.3;103; 0.6; 0.6;AMPEZZO (FRIULI);[earthquake]
00416;2024_00416;2024-03-28T20:11:21.410; 0.09;46.3573;12.8178;  0.2;  7.2;  0.2; 79; 1.9; 1.6;AMPEZZO (FRIULI);[earthquake]
00417;2024_00417;2024-03-28T21:57:29.560; 0.19;46.3527;12.8055;  1.1;  8.4;  1.1;114; 0.6; 0.7;AMPEZZO (FRIULI);[earthquake]
00418;2024_00418;2024-03-28T22:09:26.380; 0.03;46.3557;12.8275;  0.3;  7.7;  0.3;200; 0.6; 0.5;AMPEZZO (FRIULI);[earthquake]
00419;2024_00419;2024-03-28T22:16:14.610; 0.09;46.3517;12.8165;  0.2;  8.3;  0.2;104; 1.6; 1.7;AMPEZZO (FRIULI);[earthquake]
00420;2024_00420;2024-03-29T01:48:28.400; 0.21;46.3608;12.8235;  0.5;  3.6;  0.5; 99; 0.7; 0.3;AMPEZZO (FRIULI);[earthquake]
00421;2024_00421;2024-03-29T02:51:46.480; 0.26;46.3637;12.8255;  0.6;  7.8;  0.6; 97; 0.7; 0.7;AMPEZZO (FRIULI);[earthquake]
00422;2024_00422;2024-03-29T03:46:38.450; 0.23;46.3600;12.8165;  0.3;  8.3;  0.3; 58; 1.9; 1.0;AMPEZZO (FRIULI);[earthquake]
00423;2024_00423;2024-03-29T06:55:20.960; 0.10;46.3537;12.8138;  0.4;  8.4;  0.4;114; 0.9; 1.5;AMPEZZO (FRIULI);[earthquake]
00424;2024_00424;2024-03-29T07:18:45.090; 0.12;46.3467;12.7693;  0.8;  7.2;  0.8;138; 1.8; 0.2;AMPEZZO (FRIULI);[earthquake]
00425;2024_00425;2024-03-29T14:08:20.590; 0.13;46.3603;12.8245;  0.6;  6.5;  0.6;113; 0.3; 0.7;AMPEZZO (FRIULI);[earthquake]
00426;2024_00426;2024-03-29T17:40:26.610; 0.27;45.8868;11.8325;  1.2; 10.5;  1.2;147; 0.8; 1.3;CAVASO DEL TOMBA (VENETO);[earthquake]
00427;2024_00427;2024-03-29T23:31:45.420; 0.13;46.3580;12.8182;  0.4;  3.7;  0.4;102; 0.4; 0.8;AMPEZZO (FRIULI);[earthquake]
00428;2024_00428;2024-03-30T00:47:33.860; 0.13;46.3523;12.8190;  0.3;  8.2;  0.3;102; 0.5; 1.3;AMPEZZO (FRIULI);[earthquake]
00429;2024_00429;2024-03-30T01:56:49.100; 0.12;45.9557;10.7257;  0.6;  7.9;  0.6;145; 0.7; 1.3;PRANZO (TRENTINO);[earthquake]
00430;2024_00430;2024-03-30T02:32:35.600; 0.15;46.4227;12.9377;  0.4;  3.6;  0.4; 55; 1.0; 1.6;OVARO (FRIULI);[earthquake]
00431;2024_00431;2024-03-30T05:20:01.110; 0.08;46.3820;13.6698;  0.4;  7.6;  0.4;152; 0.9; 1.1;SOCA (SLOVENIA);[earthquake]
00432;2024_00432;2024-03-30T09:01:56.550; 0.16;46.4980;12.9537;  0.4;  7.3;  0.4; 81; 0.9; 1.5;ARTA (FRIULI);[earthquake]
00433;2024_00433;2024-03-30T14:35:26.370; 0.05;46.3508;12.8107;  0.2;  8.5;  0.2;108; 0.6; 1.1;AMPEZZO (FRIULI);[earthquake]
00434;2024_00434;2024-03-31T01:56:34.370; 0.22;46.3558;12.8040;  0.4;  9.4;  0.4; 80; 1.7; 2.3;AMPEZZO (FRIULI);[earthquake]
00435;2024_00435;2024-03-31T04:32:19.860; 0.20;46.3553;12.7908;  2.1;  4.4;  2.1;142; 0.2; 0.4;AMPEZZO (FRIULI);[earthquake]
00436;2024_00436;2024-03-31T06:50:11.920; 0.37;46.3138;13.2117;  1.1;  5.1;  1.1;119; 0.5; 0.8;LUSEVERA (FRIULI);[earthquake]
00437;2024_00437;2024-03-31T10:20:54.980; 0.10;46.3563;12.8108;  0.2;  7.7;  0.2;107; 1.2; 1.9;AMPEZZO (FRIULI);[earthquake]
00438;2024_00438;2024-03-31T10:22:21.260; 0.24;46.3628;12.8042;  0.4;  8.6;  0.4; 78; 1.3; 0.9;AMPEZZO (FRIULI);[earthquake]
00439;2024_00439;2024-03-31T12:05:30.470; 0.26;46.3693;12.8150;  0.8;  9.5;  0.8; 98; 0.6; 1.6;AMPEZZO (FRIULI);[earthquake]
00440;2024_00440;2024-03-31T12:38:51.670; 0.09;45.8050;14.3642;  0.4;  2.7;  0.4;123; 1.4; 0.5;CERKNICA (SLOVENIA);[earthquake]
00441;2024_00441;2024-03-31T18:08:29.180; 0.23;46.3658;12.8142;  0.6;  7.4;  0.6;103; 0.6; 0.7;AMPEZZO (FRIULI);[earthquake]
00442;2024_00442;2024-03-31T21:16:48.130; 0.39;46.5580;12.3682;  0.7;  3.3;  0.7;139; 0.7; 0.1;AURONZO DI CADORE (VENETO);[earthquake]
00443;2024_00443;2024-03-31T23:11:36.930; 0.18;45.7353;11.0173;  0.5;  1.7;  0.5;134; 0.8; 1.6;M.LESSINI (TRENTINO);[earthquake]
00444;2024_00444;2024-04-01T01:45:53.100; 0.23;44.6530;10.2258;  4.2; 27.2;  4.2;319; 2.2; 0.9;LANGHIRANO (EMILIA);[earthquake]
00445;2024_00445;2024-04-01T04:01:59.140; 0.29;46.3598;12.8123;  0.5;  5.3;  0.5; 83; 0.9; 0.4;AMPEZZO (FRIULI);[earthquake]
00446;2024_00446;2024-04-01T11:23:52.730; 0.19;46.3438;13.4742;  0.5; 10.7;  0.5; 64; 0.8; 0.3;SELLA NEVEA (FRIULI);[earthquake]
00447;2024_00447;2024-04-01T15:07:56.800; 0.30;46.3522;12.8103;  0.4;  7.3;  0.4; 59; 1.8; 1.7;AMPEZZO (FRIULI);[earthquake]
00448;2024_00448;2024-04-01T20:07:22.400; 0.28;45.7138;14.2090;  0.7; 16.2;  0.7; 72; 1.6;----;DEBELA-GORA (SLOVENIA);[earthquake]
00449;2024_00449;2024-04-02T02:54:25.550; 0.22;45.9715;14.3508;  0.8;  5.2;  0.8; 81; 1.3; 0.8;PRESERJE (SLOVENIA);[earthquake]
00450;2024_00450;2024-04-02T03:36:09.080; 0.31;46.3562;12.8157;  0.4;  9.6;  0.4; 58; 2.0; 2.5;AMPEZZO (FRIULI);[earthquake]
00451;2024_00451;2024-04-02T10:22:53.840; 0.25;45.9325;14.2955;  0.9; 11.8;  0.9;126; 1.6; 1.8;VRHNIKA (SLOVENIA);[earthquake]
00452;2024_00452;2024-04-02T10:50:47.320; 0.23;46.2758;13.2585;  0.6;  7.8;  0.6; 78; 0.9; 0.9;LUSEVERA (FRIULI);[earthquake]
00453;2024_00453;2024-04-02T11:57:37.560; 0.18;46.4685;13.5467;  0.6;  2.7;  0.6;129; 0.7; 1.0;CAVE DEL PREDIL (FRIULI);[earthquake]
00454;2024_00454;2024-04-02T16:47:13.270; 0.11;45.8968;12.3310;  1.1; 11.6;  1.1;203; 0.9; 0.9;VAZZOLA (VENETO);[earthquake]
00455;2024_00455;2024-04-02T20:59:50.660; 0.12;46.1477;13.9428;  0.7; 11.7;  0.7;149; 0.7; 0.8;GRAHOVO (SLOVENIA);[earthquake]
00456;2024_00456;2024-04-03T04:24:48.370; 0.19;46.3600;12.8108;  0.9;  0.3;  0.9;145; 0.3; 0.5;AMPEZZO (FRIULI);[earthquake]
00457;2024_00457;2024-04-03T09:58:30.570; 0.27;46.3628;12.8108;  0.4;  6.9;  0.4; 84; 1.0; 1.3;AMPEZZO (FRIULI);[earthquake]
00458;2024_00458;2024-04-03T10:12:28.700; 0.32;46.1648;13.9025;  1.3; 12.1;  1.3;134; 0.7; 1.0;GRAHOVO (SLOVENIA);[earthquake]
00459;2024_00459;2024-04-03T14:17:12.090; 0.04;46.2602;12.4807;  0.5;  5.8;  0.5;195; 0.2; 0.6;CLAUT (FRIULI);[earthquake]
00460;2024_00460;2024-04-03T14:33:02.960; 0.39;44.8732;11.2787;  4.7; 12.2;  4.7;228; 1.7;----;FINALE EMILIA NORD (EMILIA);[earthquake]
00461;2024_00461;2024-04-03T21:14:18.770; 0.15;46.2542;13.7215;  0.4;  6.5;  0.4;102; 0.7; 1.4;KUK (SLOVENIA);[earthquake]
00462;2024_00462;2024-04-04T01:11:41.510; 0.14;45.9993;14.2560;  0.6;  3.6;  0.6;106; 0.7; 1.4;VRHNIKA (SLOVENIA);[earthquake]
00463;2024_00463;2024-04-04T02:49:50.830; 0.10;46.4757;13.6322;  1.1;  4.9;  1.1;283; 0.0; 0.4;FUSINE (FRIULI);[earthquake]
00464;2024_00464;2024-04-04T07:38:31.970; 0.13;46.1663;12.4460;  0.6;  7.9;  0.6;104; 1.0; 2.2;PUOS D'ALPAGO (VENETO);[earthquake]
00465;2024_00465;2024-04-04T08:27:24.850; 0.25;45.8048;14.3502;  1.2; 12.2;  1.2;114; 1.6; 1.6;CERKNICA (SLOVENIA);[earthquake]
00466;2024_00466;2024-04-04T09:47:30.110; 0.15;46.6315;13.6213;  0.5;  2.5;  0.5;120; 1.0; 1.2;BLEIBERG (AUSTRIA);[earthquake]
00467;2024_00467;2024-04-04T21:20:38.110; 0.42;46.6815;10.1762;  1.5; 13.4;  1.5;112; 0.9; 1.5;P.LASCH. (SVIZZERA);[earthquake]
00468;2024_00468;2024-04-04T22:47:14.100; 0.25;46.0840;14.2740;  0.6;  8.8;  0.6; 69; 1.2; 1.6;SKOFIA-LOKA (SLOVENIA);[earthquake]
00469;2024_00469;2024-04-05T07:50:02.340; 0.18;46.3577;12.8190;  0.5;  5.3;  0.5;102; 0.6;----;AMPEZZO (FRIULI);[earthquake]
00470;2024_00470;2024-04-05T07:58:47.920; 0.24;45.5585;13.8745;  1.5;  4.8;  1.5;236; 1.4; 1.2;S.SERGIO (SLOVENIA);[earthquake]
00471;2024_00471;2024-04-05T12:28:32.410; 0.18;46.3487;12.8233;  0.3;  9.3;  0.3; 32; 3.4; 3.4;AMPEZZO (FRIULI);[earthquake]
00472;2024_00472;2024-04-05T12:35:30.860; 0.28;46.3560;12.8102;  0.5;  8.5;  0.5; 63; 1.3; 2.0;AMPEZZO (FRIULI);[earthquake]
00473;2024_00473;2024-04-05T19:12:37.200; 0.11;46.3982;13.0770;  0.3; 12.0;  0.3;112; 0.4; 0.8;TOLMEZZO (FRIULI);[earthquake]
00474;2024_00474;2024-04-06T00:36:31.990; 0.10;46.3538;12.8203;  0.3;  7.1;  0.3;102; 0.3;----;AMPEZZO (FRIULI);[earthquake]
00475;2024_00475;2024-04-06T01:37:00.940; 0.10;46.4658;12.8953;  0.4;  4.2;  0.4;142; 0.0;----;OVARO (FRIULI);[earthquake]
00476;2024_00476;2024-04-06T06:50:38.050; 0.08;46.4350;13.4670;  0.5;  3.4;  0.5;166;-0.2;----;CAVE DEL PREDIL (FRIULI);[earthquake]
00477;2024_00477;2024-04-06T08:05:31.900; 0.07;46.4372;12.9865;  0.2;  8.3;  0.2;109; 0.2; 0.7;ARTA (FRIULI);[earthquake]
00478;2024_00478;2024-04-06T08:41:25.860; 0.20;46.0543;14.2052;  0.8; 11.8;  0.8;108; 1.1; 1.9;HORJUL (SLOVENIA);[earthquake]
00479;2024_00479;2024-04-06T14:58:26.390; 0.19;46.3442;13.2050;  0.5;  5.1;  0.5; 90; 0.4; 0.7;CHIUSAFORTE (FRIULI);[earthquake]
00480;2024_00480;2024-04-06T15:42:03.970; 0.23;46.3607;12.8040;  0.3;  6.7;  0.3; 78; 1.2; 1.6;AMPEZZO (FRIULI);[earthquake]
00481;2024_00481;2024-04-06T18:25:19.690; 0.12;46.3608;12.8262;  0.2;  5.7;  0.2; 97; 0.5; 0.9;AMPEZZO (FRIULI);[earthquake]
00482;2024_00482;2024-04-07T03:10:32.810; 0.37;45.6275;14.4657;  1.3; 17.0;  1.3;109; 1.2; 2.5;LESKOVA-DOLINA (SLOVENIA);[earthquake]
00483;2024_00483;2024-04-07T03:27:54.670; 0.24;46.3528;12.8038;  0.3; 10.1;  0.3; 59; 2.4; 2.2;AMPEZZO (FRIULI);[earthquake]
00484;2024_00484;2024-04-07T03:34:33.740; 0.23;46.3260;11.0952;  0.8;  8.6;  0.8;103; 0.6; 0.9;TRES (TRENTINO);[earthquake]
00485;2024_00485;2024-04-07T05:44:00.830; 0.36;46.6992;12.5812;  0.6; 10.3;  0.6; 99; 1.5; 2.1;BERGEN (AUSTRIA);[earthquake]
00486;2024_00486;2024-04-07T06:36:10.110; 0.36;44.8443;11.0100;  5.3; 31.1;  5.3;334; 1.5;----;MIRANDOLA (EMILIA);[earthquake]
00487;2024_00487;2024-04-07T07:03:54.480; 0.26;46.0130;14.1830;  0.8;  8.1;  0.8;101; 1.0;----;ZIRI (SLOVENIA);[earthquake]
00488;2024_00488;2024-04-07T07:39:26.870; 0.02;46.3630;13.0137;  0.1;  7.2;  0.1;171; 0.1;----;TOLMEZZO (FRIULI);[earthquake]
00489;2024_00489;2024-04-07T07:44:44.680; 0.30;46.0762;14.1152;  1.0; 16.1;  1.0; 86; 0.8; 1.3;ZIRI (SLOVENIA);[earthquake]
00490;2024_00490;2024-04-07T09:26:12.560; 0.25;45.7105;13.8180;  1.1;  3.6;  1.1; 75; 1.4; 0.8;POGGIOREALE D.CARSO;[earthquake]
00491;2024_00491;2024-04-07T17:49:32.890; 0.33;46.3600;12.8092;  0.5;  8.0;  0.5; 79; 1.1; 1.6;AMPEZZO (FRIULI);[earthquake]
00492;2024_00492;2024-04-08T05:19:06.890; 0.40;45.5820;10.4058;  1.0; 12.3;  1.0;150; 1.6; 2.3;BEDIZZOLE (LOMBARDIA);[earthquake]
00493;2024_00493;2024-04-08T09:23:46.320;-----;45.7992;14.3423;-----;  3.6;-----;121; 1.8; 1.0;CERKNICA (SLOVENIA);[earthquake]
00494;2024_00494;2024-04-08T11:09:23.840; 0.29;46.6000;10.5087;  0.9;  9.4;  0.9; 87; 0.9; 1.3;TUBRE (ALTO ADIGE);[earthquake]
00495;2024_00495;2024-04-08T12:10:54.100; 0.11;45.3783;14.3357;  0.8;  7.0;  0.8;295; 1.7; 1.8;RIJEKA (CROAZIA);[earthquake]
00496;2024_00496;2024-04-09T00:08:09.250; 0.10;46.3750;12.9620;  0.6;  9.7;  0.6;116; 0.1; 0.3;TOLMEZZO (FRIULI);[earthquake]
00497;2024_00497;2024-04-09T01:20:32.990; 0.14;45.7173;10.8552;  0.6;  2.4;  0.6;109; 1.1; 1.5;M.BALDO (VENETO);[earthquake]
00498;2024_00498;2024-04-09T07:05:07.290; 0.12;46.5850;10.5010;  0.7;  8.0;  0.7;125; 0.8; 0.9;TUBRE (ALTO ADIGE);[earthquake]
00499;2024_00499;2024-04-09T08:07:56.450; 0.07;46.2595;13.7748;  0.4;  2.3;  0.4;164; 1.0; 1.1;KUK (SLOVENIA);[earthquake]
00500;2024_00500;2024-04-09T08:09:57.600; 0.24;46.2533;13.8000;  0.7;  2.0;  0.7;139; 1.0; 1.2;KUK (SLOVENIA);[earthquake]
00501;2024_00501;2024-04-09T09:29:55.700; 0.10;46.2790;13.8015;-----;  0.1;-----;356; 0.7; 0.5;KUK (SLOVENIA);[earthquake]
00502;2024_00502;2024-04-09T17:24:55.960; 0.19;46.3557;13.2062;  0.4;  6.0;  0.4; 65; 0.9; 1.3;CHIUSAFORTE (FRIULI);[earthquake]
00503;2024_00503;2024-04-09T17:49:27.610; 0.14;46.3648;13.2075;  0.5;  7.5;  0.5;139; 0.7; 1.0;CHIUSAFORTE (FRIULI);[earthquake]
00504;2024_00504;2024-04-09T20:47:07.300; 0.04;46.3650;13.2010;  0.2;  9.2;  0.2;191; 0.2; 0.8;MOGGIO UDINESE (FRIULI);[earthquake]
00505;2024_00505;2024-04-09T23:23:41.590; 0.01;46.2860;13.1353;  0.1;  5.1;  0.1;149; 0.2; 0.3;GEMONA (FRIULI);[earthquake]
00506;2024_00506;2024-04-10T04:20:47.920; 0.62;44.5698;10.2220;  5.6; 18.9;  5.6;203; 3.1; 3.1;NEVIANO D.ARDUINI (EMILIA);[earthquake]
00507;2024_00507;2024-04-10T07:13:10.990; 0.13;46.5972;10.5152;  0.7;  3.5;  0.7;125; 0.9; 1.4;TUBRE (ALTO ADIGE);[earthquake]
00508;2024_00508;2024-04-10T13:32:29.030; 0.09;46.3565;12.8213;  0.3;  6.9;  0.3;114; 0.8; 1.2;AMPEZZO (FRIULI);[earthquake]
00509;2024_00509;2024-04-10T14:26:25.030; 0.14;46.3410;10.3252;  1.0;  4.7;  1.0;217; 0.7; 1.2;VALLE GROSINA (LOMBARDIA);[earthquake]
00510;2024_00510;2024-04-10T17:22:26.310; 0.11;46.1890;14.4060;  0.3;  9.9;  0.3; 79; 1.4; 1.4;KRANJ (SLOVENIA);[earthquake]
00511;2024_00511;2024-04-10T22:55:36.420; 0.03;46.2982;13.3217;  0.2; 10.7;  0.2;151; 0.3; 0.6;LUSEVERA (FRIULI);[earthquake]
00512;2024_00512;2024-04-11T03:33:50.140; 0.15;45.7375;11.0177;  0.4;  4.5;  0.4;122; 1.2; 1.4;M.LESSINI (TRENTINO);[earthquake]
00513;2024_00513;2024-04-11T04:07:02.190; 0.10;46.3560;12.8518;  1.2;  7.2;  1.2;214; 0.5; 0.7;VILLA SANTINA (FRIULI);[earthquake]
00514;2024_00514;2024-04-11T04:32:52.510; 0.13;45.5063;14.2980;  0.6;  9.4;  0.6;191; 1.6; 1.7;ILIRSKA BISTRICA (SLOVENIA);[earthquake]
00515;2024_00515;2024-04-11T04:59:22.720; 0.13;46.3483;12.8120;  0.2;  9.1;  0.2; 83; 1.5; 1.9;AMPEZZO (FRIULI);[earthquake]
00516;2024_00516;2024-04-11T11:26:33.780; 0.11;46.3623;12.8175;  0.6;  7.3;  0.6;146; 0.4; 0.8;AMPEZZO (FRIULI);[earthquake]
00517;2024_00517;2024-04-11T12:24:30.500; 0.12;45.5097;14.3102;  0.4; 11.7;  0.4;190; 1.8; 2.0;ILIRSKA BISTRICA (SLOVENIA);[earthquake]
00518;2024_00518;2024-04-11T17:27:55.950; 0.10;46.8592;11.1573;  0.4;  1.6;  0.4;200; 1.1; 1.7;CORVARA IN PASSIRIA (ALTO ADIGE);[earthquake]
00519;2024_00519;2024-04-11T20:39:42.450; 0.14;46.2792;13.6328;  0.3;  5.8;  0.3; 98; 0.9; 1.3;KOBARID (SLOVENIA);[earthquake]
00520;2024_00520;2024-04-11T22:31:28.920; 0.12;46.1373;13.9125;  0.6; 11.5;  0.6;117; 0.8; 1.0;GRAHOVO (SLOVENIA);[earthquake]
00521;2024_00521;2024-04-11T23:48:04.190; 0.15;45.4090;14.3168;  0.9; 11.9;  0.9;221; 1.5; 1.7;MATULJI (CROAZIA);[earthquake]
00522;2024_00522;2024-04-12T08:29:24.670; 0.26;46.0443;13.6422;  0.9;  7.5;  0.9;110; 1.2; 1.5;PLAVE (SLOVENIA);[earthquake]
00523;2024_00523;2024-04-12T10:04:20.400; 0.20;45.6425;10.7772;  6.4; 39.6;  6.4;318; 0.8; 1.0;CAPRINO VERONESE (VENETO);[earthquake]
00524;2024_00524;2024-04-12T12:55:19.210; 0.31;45.0627;11.3680;  1.4; 14.0;  1.4;249; 2.3; 2.2;CENESELLI (VENETO);[earthquake]
00525;2024_00525;2024-04-12T19:18:14.050; 0.08;46.4323;13.5345;  0.9; 21.9;  0.9;128; 0.5;----;CAVE DEL PREDIL (FRIULI);[earthquake]
